Name,Description,Location
Arakawa Under the Bridge,"Kou Ichinomiya is the son of a wealthy businessman who holds firm belief in his elite status. As such, he is determined to avoid becoming indebted to anyone; but one day, after a run-in with some mischievous kids on Arakawa Bridge, he ends up falling into the river running underneath. Luckily for him, a passerby is there to save him—but now, he owes his life to this stranger!

Angered by this, Kou insists on paying her back, but this may just be the worst deal the arrogant businessman has ever made. The stranger—a stoic, tracksuit-wearing homeless girl known only as Nino—lives in a cardboard box under the bridge and wants only one thing: to fall in love. Asking Kou to be her boyfriend, he has no choice but to accept, forcing him to move out of his comfortable home and start a new life under the bridge!",Kanon
Aria The Animation,"Drift peacefully into Neo Venezia, a city on the planet Aqua (formerly known as Mars). By the 24th century, humans have found a way to colonize the previously uninhabitable planet. As futuristic as that sounds, Neo Venezia is still teeming with rustic beauty; gondolas on wide canals and waterways are the main mode of transportation. The city itself is a faithful replication of Manhome's (the planet formerly known as Earth) Venice.

To make sure that residents and tourists alike get the most from Neo Venezia's many wonders, companies offering guided tours via gondola were formed, one of which is named Aria Company.

This is the workplace of Akari Mizunashi, a free spirited teenager from Manhome who is now a novice Undine (the title given to tour guides). Join Akari as she becomes intimately acquainted with other Undine, tourists, Neo Venezia's residents, and even the city itself, learning many valuable life lessons along the way, such as the wonderful truth that there are such things as manmade miracles.",Kanon
Aria the Natural,"Akari Mizunashi continues her training to become a Prima Undine (a professional tour guide gondolier) along with her friends Aika and Alice in the peaceful city of Neo Venezia. Despite the fact that these three girls are from competing companies, they are constantly together, learning more about how to become better tour guides and more about the mysteries of Neo Venezia.

As the group continues to meet interesting and unforgettable people through their daily routines, they will also come closer to the secrets that make the enigmatic and ever beautiful city of Neo Venezia so warm and alive.

Welcome back to Neo Venezia: the city where miracles can be created by hand.",Kanon
Aria the Origination,"In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.

Aria The Origination follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.",Kanon
Arslan Senki,"The year is 320. Under the rule of the belligerent King Andragoras III, the Kingdom of Pars is at war with the neighboring empire, Lusitania. Though different from his father in many aspects, Arslan, the young prince, sets out to prove his valor on the battlefield for the very first time. However, when the king is betrayed by one of his most trusted officials, the Parsian army is decimated and the capital city of Ecbatana is sieged. With the army in shambles and the Lusitanians out for his head, Arslan is forced to go on the run. With a respected general by his side, Daryun, Arslan soon sets off on a journey in search of allies that will help him take back his home.

However, the enemies that the prince faces are far from limited to just those occupying his kingdom. Armies of other kingdoms stand ready to conquer Ecbatana. Moreover, the mastermind behind Lusitania's victory, an enigmatic man hiding behind a silver mask, poses a dangerous threat to Arslan and his company as he possesses a secret that could jeopardize Arslan's right to succession.

With the odds stacked against him, Arslan must find the strength and courage to overcome these obstacles, and allies who will help him fight in the journey that will help prepare him for the day he becomes king.",Kanon
Bamboo Blade,"
7.42 Ranked #1898Popularity #1089Members 66,799Fall 2007TVAIC A.S.T.A.
Add to ListEpisodes: 
0
/26buy from CD Japan	
PV English dub version
play
More videos
EditSynopsis
Kojirou is the kendo instructor for Muroe High School and he's totally broke. But then an unexpected chance is given to him: his team must win against his senpai's team and the prize is: free meals for a whole year! Now, the only problem left... where to find girls skilled enough and willing to join the kendo team?",Kanon
Black Lagoon - Roberta's Blood Trail,"Roberta, the terrorist-turned-maid that made her appearence in the first season of Black Lagoon, returns in this five-episode OVA series—and this time, all bets are off!

Roberta's benefactor, the patriarch of the Lovelace clan, is murdered during a political rally. The assassin's trail soon leads back to Roanapur—so now she has returned on a mission of vengeance! However, close behind her is the new patriarch, Garcia, as well as Roberta's apprentice (and maid), Fabiola Iglesias. As the body count of Roberta's bloody rampage mounts, forces from within the corrupt island (which includes the Lagoon Company), as well as overseas converge on what threatens to escalate into all-out war!",Kanon
Black Lagoon,"Within Thailand is Roanapur, a depraved, crime-ridden city where not even the authorities or churches are untouched by the claws of corruption. A haven for convicts and degenerates alike, the city is notorious for being the center of illegal activities and operations, often fueled by local crime syndicates.

Enter Rokurou Okajima, an average Japanese businessman who has been living a dull and monotonous life, when he finally gets his chance for a change of pace with a delivery trip to Southeast Asia. His business trip swiftly goes downhill as Rokurou is captured by a mercenary group operating in Roanapur, called Black Lagoon. The group plans to use him as a bargaining chip in negotiations which ultimately failed. Now abandoned and betrayed by his former employer, Rokurou decides to join Black Lagoon. In order to survive, he must quickly adapt to his new environment and prepare himself for the bloodshed and tribulation to come.

A non-stop, high-octane thriller, Black Lagoon delves into the depths of human morality and virtue. Witness Rokurou struggling to keep his values and philosophies intact as he slowly transforms from businessman to ruthless mercenary.",Kanon
Blood+,"Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year.

However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst. 

Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past.",Kanon
Boku Dake ga Inai Machi,"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives.

However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right.

Boku dake ga Inai Machi follows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present.",Kanon
Break Blade 2014,"In the continent of Cruzon, an impending war between the Kingdom of Krisna and the nation of Athens is brimming. The people of this land are able to use quartz for whatever purpose they desire. Yet one person, Rygart Arrow, is not. He is an ""un-sorcerer,"" a person unable to use quartz. But this characteristic will enable him to pilot an ancient Golem, one strong enough to put up a fight against the invading army of Athens.",Kanon
Cube x Cursed x Curious,"From the light novel series written by Minase Hazuki, comes a story of love, action, and comedy. Yachi Haruaki is a high school boy who is naturally resistant to curses. After his father sends him a mysterious black cube, Haruaki awakes to find a nude girl named Fear standing in his kitchen. She’s the human form of the cursed black cube – and an instrument of torture! Utilizing her special abilities, Fear fights alongside Haruaki to defeat other cursed instruments and their owners.",Kanon
Campione!,"Some people suddenly find religion, but for 16-year-old Kusanagi Godou, it's that REALLY old time religion that's found him! As the result of defeating the God of War in mortal combat, Godou's stuck with the unwanted position of Campione!, or God Slayer, whose duty is to fight Heretical Gods whenever they try to muscle in on the local turf. Not only is this likely to make Godou roadkill on the Highway to Heaven, it's also a job that comes with a lot of other problems. Like how to deal with the fact that his ""enhanced status"" is attracting a bevy of overly-worshippy female followers. After all, they're just there to aid him in his demi-godly duties, right? So why is it that their leader, the demonically manipulative sword-mistress Erica Blandelli, seems to have such a devilish interest in encouraging some VERY unorthodox activities? Get ready for immortal affairs, heavenly harems and lots of dueling deities taking pious in the face as the ultimate smash, bash and thrash of the Titans rocks both Heaven and Earth.",Kanon
Canaan,"Oosawa Maria is a Japanese photographer currently working in Shanghai, China. Along with her partner Mino, she searches for potential newsworthy stories throughout the city. When strange events occur at a local festival, Maria and Mino immediately investigate. Quickly, the two are immersed in a battle between unknown masked men and a strange, white-haired woman. Just when Maria is about to be caught in the crossfire, an old friend by the name of Canaan appears and helps Maria escape. But a sinister plot over a deadly virus soon develops, and Canaan learns she must confront her past if she wants any chance at stopping the perpetrator and saving her friends.",Kanon
Chaos;Head,"Shibuya, Japan, 2008. Takumi Nishijou, a high school student at the Private Suimei Academy, one day hears about the 'New Gen' murders that have been occurring around the city. Although dismissing the subject because it doesn't involve him, Takumi begins to experience strange mishaps around him, from a horrific picture he received while on his PC, to a mysterious Pink-Haired girl standing at a murder scene.

From there on Takumi struggles to cope with the events unfolding around him, and is soon unaware of what is real or a delusion. As his fate opens up before him, the perpetrator behind the 'New Gen' events attempts to find him, leading him into a world where nothing is as it seems.",Kanon
Charlotte,"While on the surface Yuu Otosaka appears to be just another charming and intelligent teenager, he has a secret—he has the ability to slip into people's minds and fully control their body for five seconds at a time. Yuu has been using this skill for years to gain the highest grades, which allowed him to enter a prestigious high school.

When the enigmatic Nao Tomori catches Yuu using his power, she coerces him and his sister Ayumi into transferring to Hoshinoumi Academy, a school for students with supernatural abilities. The student council of the school, led by Nao, is tasked with secretly tracking down adolescents who abuse their powers. Yuu is forced to join the student council and together, they face formidable challenges that bring him closer to the shocking truth that his own, seemingly incomplete ability, might be more powerful than he could have ever imagined.

An original story from Jun Maeda, creator of Angel Beats and Clannad, Charlotte explores the supernatural lives of these teenagers and the price they must pay for being special.",Kanon
Chuunibyou demo Koi ga Shitai!,"Everybody has had that stage in their life where they have thought themselves to be special, different from the masses of ordinary humans. They might go as far as seeing themselves capable of wielding mystical powers, or maybe even believe themselves to have descended from a fantasy realm. This ""disease"" is known as ""chuunibyou"" and is often the source of some of the most embarrassing moments of a person's life.

For Yuuta Togashi, the scars that his chuunibyou has left behind are still fresh. Having posed as the ""Dark Flame Master"" during his middle school years, he looks back at those times with extreme embarrassment, so much so that he decides to attend a high school far away where nobody will recognize him. Putting his dark history behind him, he longs to live a normal high school life.

Unfortunately, he hasn't escaped his past yet: enter Rikka Takanashi, Yuuta's new classmate and self-declared vessel of the ""Wicked Eye."" As this eccentric young girl crashes into Yuuta's life, his dream of an ordinary, chuunibyou-free life quickly crumbles away. In this hilarious and heartwarming story of a boy who just wants to leave his embarrassing memories behind, the delusions of old are far from a thing of the past.",Kanon
Classroom Crisis,"In Martian colony Fourth Tokyo lies a classroom of Kirishina Corporation's brightest minds spearheading aerospace development: A-TEC, led by genius engineer Kaito Sera, eagerly anticipating the arrival of their newest member. It soon becomes clear, however, that the transfer student is hardly ordinary—Nagisa Kiryuu, newly appointed chief of A-TEC and the younger brother of the corporation's CEO, is sent to shut the program down. To keep the classroom alive, Kaito and his students desperately work to develop a successor to their most powerful rocket, the X-2; meanwhile, Nagisa climbs the corporate ladder in pursuit of his own mission. In spite of this, their separate battles soon reveal that much more is going on in Kirishina Corporation than meets the eye.

Classroom?Crisis follows Kaito and Nagisa, as well as Kaito's younger sister Mizuki and A-TEC's test pilot Iris Shirasaki, in a story of intrigue, political warfare, and, against all odds, romance. As Nagisa and A-TEC are dragged further and further into Kirishina Corporation's conspiracies, friendships grow and pasts are unveiled as they fight to avert their classroom crisis.",Kanon
Concrete Revolutio S1,"Concrete Revolutio: Choujin Gensou takes place in an alternate future during the year Apotheosis 41. Earth has been inhabited by an array of beings once thought to be pure fiction: ghosts, robots, aliens, cyborgs, you name it. This horrific reality is not something that many can accept. To keep the civilian population from panicking and to protect humanity from any new threats that may arise, the various governments of the world have decided to keep this information secret.

The Japanese government's solution to this problem is to set up the Super Population Research Laboratory, also known as the ""Superhuman Bureau."" This organization is tasked with keeping track of all the special beings within Japan and containing, or eliminating, individuals that are deemed to be a threat. As only other superhumans can really stand up to superhumans, the Bureau consists of almost all non-human members. The one exception is Jirou Hitoyoshi, whose main job is to recruit new talent and bolster the number of superhumans working for the government. One day, a crucial decision forces Jirou to become a vigilante, with the Bureau he once served now hunting him. How will he handle the transition from hero to fugitive?",Kanon
Cross Ange: Tenshi to Ryuu no Rondo,"The royal life of Princess Angelise Ikaruga Misurugi was as idyllic as the life of a sixteen-year-old princess could be. Beautiful, talented, athletic, loved by her people, and soon to be baptized in honor of her ascension to the throne of the Misurugi Empire, Angelise had everything. Even her kingdom was in a blissful age of peace and prosperity thanks to the utilization of an extremely advanced technology materialization force known as ""mana.""

However, everything Angelise has come to know soon crashes to the ground around her after she is revealed to be a ""norma,"" a member of society resistant to the effects of mana and unable to use it herself. Just like the rest of the norma, Angelise is arrested and removed from society. Now she's being forced to work as a soldier based out of the prison camp, Arzenal, and fly a transforming robotic vehicle called a ""Paramail.""

To survive, Angelise will have to adapt to several different aspects of her new life in Cross Ange: Tenshi to Ryuu no Rondo, coping with prison society, relationships with other ""norma"" women, and piloting her Paramail against giant beasts known as DRAGONs. Will revenge be a great enough motive to encourage her to overcome these challenges? Or will the hate for those that betrayed her tear her apart in the process?",Kanon
Danchigai,"Haruki Nakano lives an average high school life, except for the fact that his mother is overseas and he shares an apartment with his four sisters. There's the oldest, Mutsuki, who has a bad habit of falling asleep in his bed, the junior high school student Yayoi, who hits him whenever something happens, and then the grade school twins, Uzuki and Satsuki, who love to play pranks on their older brother.

Stuck in a house with four girls, Haruki has to deal with all sorts of trials. From going grocery shopping, watching scary movies, to kissing practice, life is never boring in Danchigai!",Kanon
Dareka no Manazashi,"The stage is set at near future. Okamura Aya, also known as ""Aachan"", started to live by herself as she started a new job after graduation. Her mother needed to go overseas to work as a doctor, so now only her father and a cat, Mii-san, live in a Proud apartment. Since Aachan moved out, her father has been trying to reach out to her but somehow there is an awkward gap between the two. And the cat Mii-san, which Aachan has kept since she was a child, is getting old... One night, Aachan came back from a tiring day and threw herself on the bed. She closed her eyes and remembered the happy days she spent with her parents and when Mii-san came to comfort her when she got lonely after her mother left.... And then the phone rang...",Kanon
Denki-gai no Honya-san,"Umio is a shy kid who just started his part time job at a manga store smack dab in the middle of the city. But his lifestyle isn't as glamorous as the neon lights that illuminate the city. Umio's closest friends are his co-workers who are all unique characters, to say the least, and although they're nice people, they have their quirks. They are a tight knit group of friends, have nicknames for each other and spend their weekends inside, sheltered from the extravagant scene happening on the outside.",Kanon
Drifters,"At the Battle of Sekigahara in 1600, Toyohisa Shimazu is the rearguard for his retreating troops, and is critically wounded when he suddenly finds himself in a modern, gleaming white hallway. Faced with only a stoic man named Murasaki and hundreds of doors on both sides, Toyohisa is pulled into the nearest door and into a world completely unlike his own.

The strange land is populated by all manner of fantastical creatures, as well as warriors from different eras of Toyohisa's world who were thought to be dead. Quickly befriending the infamous warlord Nobunaga Oda and the ancient archer Yoichi Suketaka Nasu, Toyohisa learns of the political unrest tearing through the continent. Furthermore, they have been summoned as ""Drifters"" to fight against the ""Ends,"" people who are responsible for the creation of the Orte Empire and are trying to annihilate the Drifters. As the Ends grow more powerful, so does the Empire's persecution of elves and other demihumans. It is up to Toyohisa and his group of unconventional heroes to battle in a brand-new world war to help the Empire's subjects, while protecting the land to claim for themselves and challenging the Ends.",Kanon
Elemental Gelade,"After a routine raid, the rookie sky pirate Coud finds a most unusual cargo in his mates' cargo hold: Ren, an ""Edel Reid"", a race prized by humans for granting special combat power to their partners through ""Reacting"". He quickly discovers, however, that Ren is even more prized than he expected. The pirate ship is visited by three members of the Edel Reid Complete Protection Agency ""Arc Aire"", who try to purchase her. When Coud refuses, the ship is suddenly attacked by a mysterious force, and Coud's captain charges him with Ren's protection.",Kanon
Soukyuu no Fafner: Dead Aggressor,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind.",Kanon
Zero no Tsukaima,"Louise Françoise Le Blanc de La Vallière is a self-absorbed mage in a world of wands, cloaks, and royalty. Although she studies at Tristain Academy, a prestigious school for magicians, she has a major problem: Louise is unable to cast magic properly, earning her the nickname of ""Louise the Zero"" from her classmates.

When the first year students are required to perform a summoning ritual, Louise's summoning results in a catastrophic explosion! Everyone deems this to be yet another failure, but when the smoke clears, a boy named Saito Hiraga appears. Now Louise's familiar, Saito is treated as a slave, forced to clean her clothes and eat off the ground. But when an unfamiliar brand is found etched on Saito's hand from the summoning ritual, it is believed to be the mark of a powerful familiar named Gandalfr.

Wild, adventurous, and explosive, Zero no Tsukaima follows Saito as he comes to terms with his new life and as Louise proves that there is more to her than her nickname suggests.
",Kanon
Fate/Stay Night UBW,"The Holy Grail War is a battle royale among seven magi who serve as Masters. Masters, through the use of the command seals they are given when they enter the war, command Heroic Spirits known as Servants to fight for them in battle. In the Fifth Holy Grail War, Rin Toosaka is among the magi entering the competition. With her Servant, Archer, she hopes to obtain the ultimate prize—the Holy Grail, a magical artifact capable of granting its wielder any wish.

One of Rin's classmates, Emiya Shirou, accidentally enters the competition and ends up commanding a Servant of his own known as Saber. As they find themselves facing mutual enemies, Rin and Shirou decide to form a temporary alliance as they challenge their opponents in the Holy Grail War. ",Kanon
First Squad - The Moment of Truth,"First Squad is set during the opening days of World War II on the Eastern Front. Its main cast are a group of Soviet teenagers with extraordinary abilities; the teenagers have been drafted to form a special unit to fight the invading German army. They are opposed by a Schutzstaffel (SS) officer who is attempting to raise from the dead a supernatural army of crusaders from the 12th-century Order of the Sacred Cross and enlist them in the Nazi cause.
",Kanon
Flying Witch,"In the witches' tradition, when a practitioner turns 15, they must become independent and leave their home to study witchcraft. Makoto Kowata is one such apprentice witch who leaves her parents' home in Yokohama in pursuit of knowledge and training. Along with her companion Chito, a black cat familiar, they embark on a journey to Aomori, a region favored by witches due to its abundance of nature and affinity with magic. They begin their new life by living with Makoto's second cousins, Kei Kuramoto and his little sister Chinatsu.

While Makoto may seem to be attending high school like any other teenager, her whimsical and eccentric involvement with witchcraft sets her apart from others her age. From her encounter with an anthropomorphic dog fortune teller to the peculiar magic training she receives from her older sister Akane, Makoto's peaceful everyday life is filled with the idiosyncrasies of witchcraft that she shares with her friends and family.",Kanon
Gangsta,"Nicholas Brown and Worick Arcangelo, known in the city of Ergastalum as the ""Handymen,"" are mercenaries for hire who take on jobs no one else can handle. Contracted by powerful mob syndicates and police alike, the Handymen have to be ready and willing for anything. After completing the order of killing a local pimp, the Handymen add Alex Benedetto—a prostitute also designated for elimination—to their ranks to protect her from forces that want her gone from the decrepit hellhole of a city she has come to call home. However, this criminal’s paradise is undergoing a profound period of change that threatens to corrode the delicate balance of power.

Ergastalum was once a safe haven for ""Twilights,"" super-human beings born as the result of a special drug but are now being hunted down by a fierce underground organization. This new threat is rising up to challenge everything the city stands for, and the Handymen will not be able to avoid this coming war.",Kanon
"Gate: Jieitai Kano Chi nite, Kaku Tatakaeri ","Off-duty Japan Self-Defense Forces (JSDF) officer and otaku, Youji Itami, is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts towards stopping the invasion.

Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate.",Kanon
Getsuyoubi no Tawawa,"The anime follows a salaryman who has a chance meeting with a girl named Ai on the train. They begin to meet every Monday on the train, with the man serving as her bodyguard on the crowded commute while they chat.",Kanon
Gokukoku no Brynhildr,"Ten years ago, Ryouta Murakami set out with his best friend Kuroneko to find proof of alien life. A tragic accident occurred, killing Kuroneko and injuring Ryouta. In honor of Kuroneko's memory, Ryouta now searches the night sky for alien signs, determined to prove that his friend had been right, and that aliens really do exist.

Then one day, a new transfer student comes to his class and shatters everything he believes: her name is Kuroha Neko, and she looks exactly like the deceased Kuroneko. Kuroha denies being Ryouta's friend, but there’s something strange about her. She somehow aced a difficult test to transfer in, but doesn't know her multiplication tables. She possesses inhuman strength and strange abilities. And strangest of all, she predicts death.

After Kuroha displays supernatural strength in saving his life, Ryouta becomes a part of Kuroha's life, learning about her past and the hidden forces that exist in the universe. As he sinks more and more into a world of artificially created witches and magic, Ryouta must allow his scientific mind to accept that Kuroha has a very real power - the kind of power some forces will stop at nothing to get a hold of.",Kanon
